Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
,Bosnia And Herzegovina,125.7,42.6,57.0,53.5,38.6,10.7,25.9,60.7,80.5,2021
,Uruguay,124.6,30.6,48.8,67.7,51.1,17.3,37.7,45.7,98.0,2021
,Costa Rica,121.7,39.0,44.7,62.9,50.6,10.1,60.2,44.1,99.5,2021
,Mexico,120.3,35.5,45.0,72.5,35.1,10.5,39.0,61.2,86.6,2021
,Georgia,118.9,25.7,77.4,53.8,28.0,14.2,35.4,69.7,88.5,2021
,Ecuador,118.8,30.5,45.6,68.8,40.1,12.6,39.6,58.3,94.5,2021
,Malaysia,116.9,56.1,42.1,69.6,39.5,9.9,37.0,62.6,59.1,2021
,Serbia,116.2,35.8,61.7,51.6,39.2,17.1,31.1,61.2,83.2,2021
,Jordan,114.0,33.1,59.3,65.4,52.2,8.0,41.4,76.1,89.0,2021
,Kuwait,114.0,75.3,66.0,59.0,49.4,13.2,33.7,66.7,20.2,2021
,Argentina,110.5,34.6,36.7,68.6,37.9,22.7,43.2,50.7,98.3,2021
,Panama,110.3,32.1,54.2,60.4,54.1,12.3,37.6,59.8,67.8,2021
,North Macedonia,108.5,32.0,61.4,56.5,34.1,12.7,27.2,80.0,76.3,2021
,Ukraine,107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8,2021
,Belarus,107.3,32.0,39.7,44.4,30.7,16.8,30.1,44.5,64.4,2021
,Pakistan,105.1,27.3,56.1,60.5,21.6,12.6,37.8,73.4,73.6,2021
,Brazil,104.7,28.7,32.2,57.3,31.8,16.1,41.7,54.5,92.4,2021
,India,104.5,47.1,55.3,66.2,25.2,11.3,46.7,79.6,65.3,2021
,Morocco,104.4,32.2,50.9,45.8,36.9,13.5,36.3,70.4,90.0,2021
,China,103.1,57.5,69.8,66.4,42.5,29.0,40.9,81.5,80.2,2021
,Azerbaijan,102.9,25.8,68.3,44.0,30.9,16.6,39.4,75.4,91.4,2021
,Russia,101.7,34.6,59.9,58.4,33.2,11.1,44.6,62.3,38.5,2021
,Colombia,101.3,26.1,44.2,66.7,31.0,18.7,47.3,62.9,88.3,2021
,Thailand,100.3,31.4,60.6,78.1,49.3,22.2,39.2,75.4,69.4,2021
,Chile,99.9,33.3,47.9,63.7,49.3,17.6,35.6,79.0,90.2,2021
,Hong Kong,99.3,62.4,78.3,66.3,79.9,45.2,42.3,67.3,83.6,2021
,Kazakhstan,96.4,34.9,46.0,60.1,29.8,9.6,33.6,72.6,39.8,2021
,Lebanon,94.5,29.5,53.0,63.3,75.9,14.1,39.1,89.3,94.7,2021
,Indonesia,90.1,20.9,53.8,60.5,37.4,22.0,43.4,67.1,68.5,2021
,Vietnam,88.4,27.3,53.9,58.3,38.0,20.6,29.6,85.9,71.1,2021
,Egypt,86.3,20.0,53.2,46.2,30.1,13.6,49.1,84.3,92.0,2021
,Peru,83.3,28.8,33.4,56.4,36.3,16.9,48.8,82.7,97.7,2021
,Sri Lanka,79.8,20.8,58.8,72.6,31.3,35.0,57.2,59.9,59.1,2021
,Philippines,78.4,19.7,57.8,67.1,40.7,30.1,44.0,74.1,61.0,2021
,Kenya,75.8,27.7,38.6,55.8,36.3,27.3,57.4,75.9,99.8,2021
,Bangladesh,65.3,24.1,35.8,42.7,33.3,14.4,58.5,84.9,72.9,2021
,Iran,64.7,19.0,50.8,52.2,41.3,34.2,47.4,76.1,71.0,2021
,Nigeria,52.0,9.8,36.1,48.9,29.7,17.7,61.7,87.3,60.8,2021
,Switzerland,195.3,118.4,78.3,74.8,123.3,8.3,28.5,19.6,80.2,2022
,Denmark,192.4,99.5,73.4,80.1,84.1,6.8,28.5,21.0,81.8,2022
,Netherlands,185.4,88.0,72.1,75.6,75.7,7.2,27.4,25.1,87.1,2022
,Finland,185.0,91.0,72.7,76.3,73.2,7.9,27.8,12.1,56.6,2022
,Australia,183.8,104.6,56.2,78.1,77.7,7.2,34.8,23.9,92.7,2022
,Iceland,182.3,77.1,76.5,66.4,94.9,6.4,19.8,15.8,68.8,2022
,Germany,180.3,103.1,63.6,73.2,65.6,8.9,31.1,27.8,82.4,2022
,Austria,179.2,77.3,73.9,76.7,71.0,10.7,25.5,21.7,77.1,2022
,New Zealand,176.8,83.6,56.7,73.3,74.5,8.0,30.8,23.6,96.7,2022
,Norway,176.4,83.1,66.2,76.8,100.9,8.0,26.9,17.9,68.7,2022
,Sweden,175.3,98.1,51.0,68.7,71.7,7.8,29.4,18.3,74.9,2022
,Estonia,174.2,63.5,76.2,73.3,53.7,9.3,24.5,19.7,64.3,2022
,Oman,173.7,84.2,80.0,58.2,49.4,4.6,22.8,37.2,67.2,2022
,Luxembourg,173.6,98.8,64.3,70.8,80.5,13.6,32.7,23.9,82.6,2022
,United States,170.7,106.3,51.8,69.1,70.1,4.0,32.9,35.3,76.8,2022
,Japan,169.5,87.1,77.9,80.5,77.0,11.0,40.7,38.8,85.3,2022
,Slovenia,169.0,59.5,77.3,65.2,53.9,11.5,26.5,22.9,77.6,2022
,Spain,168.5,70.0,66.1,78.4,53.9,8.8,29.2,39.7,93.8,2022
,Czech Republic,162.6,66.5,74.5,75.3,48.2,13.6,29.5,35.9,77.1,2022
,Portugal,162.5,46.8,69.4,72.0,47.9,12.2,29.9,30.5,97.8,2022
,Lithuania,161.8,58.7,66.7,71.9,45.6,11.0,26.0,26.7,67.8,2022
,United Kingdom,161.7,88.8,53.5,74.8,69.7,8.9,34.4,40.2,88.1,2022
,Canada,160.4,88.0,57.1,71.3,70.2,7.5,33.6,28.8,56.0,2022
,United Arab Emirates,160.4,92.2,84.9,68.7,58.3,4.4,36.2,49.7,45.2,2022
,Croatia,159.2,47.5,75.9,64.1,48.9,13.9,26.9,31.2,89.0,2022
,France,156.7,85.4,47.6,80.2,74.1,9.9,35.2,42.4,89.7,2022
,Qatar,154.5,93.7,86.2,73.5,62.8,6.2,30.1,59.9,36.0,2022
,Ireland,154.5,82.3,54.5,52.3,76.1,6.5,37.9,34.8,89.1,2022
,Belgium,151.9,79.7,54.6,75.5,72.6,7.1,36.9,50.1,86.0,2022
,Singapore,151.6,91.3,72.4,71.1,84.0,17.5,41.2,33.3,57.5,2022
,Slovakia,151.2,54.7,69.8,60.3,44.7,11.2,28.2,39.1,78.1,2022
,Latvia,150.8,51.6,61.3,62.4,48.5,8.1,31.2,32.7,74.7,2022
,Saudi Arabia,149.5,91.8,75.3,60.9,50.4,2.8,28.3,63.8,46.0,2022
,Cyprus,147.1,57.3,67.9,52.0,59.0,6.4,22.9,56.9,93.3,2022
,Israel,146.1,75.6,67.9,73.8,88.1,13.5,36.4,57.7,94.0,2022
,Italy,141.1,61.7,54.8,66.8,66.5,8.6,33.8,54.1,91.5,2022
,Taiwan,140.2,58.3,84.1,86.4,62.4,21.8,31.7,64.7,81.6,2022
,Poland,140.0,60.0,70.2,57.8,39.0,11.2,31.8,54.7,76.0,2022
,Hungary,137.1,52.0,65.7,53.4,40.7,10.9,35.5,47.9,80.3,2022
,South Africa,136.0,78.4,23.9,64.0,42.1,3.1,39.3,56.6,95.3,2022
,Puerto Rico,133.8,72.8,37.8,57.7,66.5,4.0,34.2,50.0,71.2,2022
,Romania,133.4,48.1,71.2,56.2,35.2,10.4,33.6,58.6,77.6,2022
,Bulgaria,130.1,46.0,61.3,56.4,38.4,7.7,29.4,64.3,82.8,2022
,Greece,129.2,39.7,52.6,57.3,56.2,10.1,33.8,51.9,94.2,2022
,Bosnia And Herzegovina,127.1,44.1,57.8,54.3,36.1,10.8,26.0,60.9,80.5,2022
,South Korea,125.0,76.9,73.5,82.7,73.2,29.4,40.0,62.4,68.4,2022
,Mexico,124.9,38.6,46.3,72.8,35.3,8.7,39.3,58.5,84.0,2022
,Turkey,124.1,32.9,60.3,70.8,28.3,10.3,44.2,65.5,93.8,2022
,Uruguay,122.3,30.1,48.6,68.4,52.1,20.1,37.3,45.2,98.0,2022
,Costa Rica,122.1,39.9,46.1,62.7,47.0,10.6,60.2,44.7,99.5,2022
,Georgia,121.1,31.1,75.7,54.2,30.2,12.0,35.4,69.3,84.2,2022
,Ecuador,118.8,31.8,42.8,69.3,37.3,12.5,38.9,58.2,94.5,2022
,Malaysia,118.0,55.3,44.3,70.1,37.0,9.8,37.2,62.1,57.5,2022
,Kuwait,117.3,78.6,66.6,59.4,48.7,12.3,33.3,66.1,20.2,2022
,Serbia,117.2,37.8,61.7,52.5,36.2,16.5,30.8,62.9,83.2,2022
,Tunisia,114.6,27.8,55.7,56.5,27.9,11.7,32.7,70.8,93.2,2022
,Panama,114.3,33.1,56.1,61.1,51.4,11.2,37.1,58.7,67.8,2022
,Jordan,113.9,31.3,59.8,65.6,49.2,8.0,41.2,76.3,89.0,2022
,Ukraine,111.9,37.2,53.1,54.3,30.7,10.9,37.7,62.9,70.7,2022
,India,111.0,49.7,55.4,65.7,24.4,10.2,46.5,73.1,65.1,2022
,North Macedonia,109.6,35.4,59.1,55.8,31.4,12.5,26.3,79.7,76.3,2022
,Malta,109.5,44.2,59.2,45.6,67.8,13.1,29.1,81.0,97.4,2022
,Belarus,108.5,31.8,41.6,45.6,30.9,16.7,30.2,44.8,64.4,2022
,Morocco,107.5,34.4,50.9,46.7,33.8,12.6,36.3,69.3,90.0,2022
,Brazil,107.0,27.8,33.0,57.8,33.2,16.3,41.3,53.8,97.2,2022
,Argentina,105.4,30.7,35.9,69.3,34.7,26.0,43.3,51.2,98.3,2022
,China,105.1,60.0,70.6,66.4,41.8,29.0,40.0,80.6,78.4,2022
,Azerbaijan,104.1,27.3,67.7,44.8,29.7,16.8,39.6,74.3,91.4,2022
,Colombia,103.5,28.9,42.3,67.2,26.7,16.9,47.8,63.0,88.3,2022
,Russia,103.3,37.4,60.4,59.1,35.3,14.8,44.5,61.8,48.9,2022
,Pakistan,102.6,26.6,58.0,59.6,19.9,14.3,37.8,73.7,70.4,2022
,Thailand,101.0,31.6,60.7,77.6,43.2,21.7,39.6,75.5,69.4,2022
,Chile,100.1,33.3,46.0,64.0,43.9,17.2,35.8,78.5,90.2,2022
,Lebanon,99.3,35.1,53.1,62.7,69.6,12.2,38.5,89.3,94.7,2022
,Hong Kong,98.4,65.7,78.1,66.3,80.7,46.9,42.6,67.6,83.6,2022
,Kazakhstan,93.8,32.2,46.6,60.0,28.7,10.5,34.7,73.4,39.8,2022
,Kenya,92.5,32.2,43.8,63.4,33.9,24.2,54.0,69.3,99.8,2022
,Indonesia,90.4,21.1,53.9,60.4,35.9,21.9,43.5,67.2,68.5,2022
,Vietnam,90.0,29.4,54.2,58.9,37.5,20.5,29.8,85.5,71.2,2022
,Egypt,89.9,21.5,53.4,47.0,29.5,12.0,48.4,83.6,92.0,2022
,Philippines,83.7,21.5,57.7,67.5,37.1,29.6,43.1,73.4,69.3,2022
,Peru,80.4,28.2,32.9,56.2,32.5,19.5,48.8,82.9,97.7,2022
,Venezuela,77.4,15.4,16.4,39.3,43.2,14.4,34.1,75.4,99.9,2022
,Sri Lanka,67.9,19.3,58.8,72.1,31.3,46.0,57.1,60.2,59.1,2022
,Bangladesh,67.6,25.3,36.6,42.3,33.1,13.5,55.9,85.0,71.3,2022
,Iran,64.9,18.0,50.9,52.3,37.4,33.0,47.1,75.4,65.7,2022
,Nigeria,52.4,9.3,36.2,48.5,30.5,16.1,62.0,88.3,60.8,2022
,Netherlands,196.7,107.8,72.7,77.1,68.6,7.2,25.5,23.7,86.8,2023
,Denmark,194.7,105.0,73.4,79.2,78.6,6.6,28.5,21.3,81.8,2023
,Switzerland,193.6,118.7,76.4,74.5,114.2,9.7,28.4,19.6,79.6,2023
,Luxembourg,192.9,127.1,64.9,75.0,73.2,11.5,29.1,21.9,82.6,2023
,Finland,190.5,98.8,73.2,77.1,67.5,7.8,27.2,12.0,59.2,2023
,Iceland,187.5,90.1,75.1,67.0,83.3,7.0,20.6,15.2,68.8,2023
,Austria,185.8,91.2,72.7,77.2,66.0,10.3,24.8,21.5,77.1,2023
,Oman,184.7,108.2,80.3,58.2,47.8,3.6,22.6,37.2,67.2,2023
,Australia,183.0,110.9,54.5,75.3,75.3,7.5,36.1,25.4,93.9,2023
,Norway,182.7,95.0,66.5,76.7,88.6,8.1,26.7,17.7,68.7,2023
,Germany,179.0,107.6,62.4,71.9,62.9,10.7,31.2,28.8,83.3,2023
,New Zealand,176.7,93.0,54.2,71.0,72.9,9.0,31.4,24.2,96.4,2023
,Japan,176.3,100.4,76.9,80.3,64.6,10.3,40.0,39.2,85.3,2023
,Sweden,175.8,101.2,51.5,68.6,62.9,9.9,29.4,18.0,74.9,2023
,United Arab Emirates,175.7,123.4,84.9,69.6,60.3,3.0,36.1,48.2,45.8,2023
,Spain,173.8,82.5,64.3,77.9,50.6,7.8,29.1,39.6,93.7,2023
,United States,172.7,115.7,51.0,68.6,72.4,4.5,33.1,36.1,77.3,2023
,Estonia,171.9,61.4,74.9,74.1,54.8,11.8,23.8,17.9,64.3,2023
,Slovenia,169.3,61.7,75.8,65.3,50.8,12.1,26.1,22.7,77.6,2023
,Qatar,167.5,123.6,85.2,73.8,59.5,5.3,29.7,60.0,36.0,2023
,United Kingdom,166.4,98.9,53.1,74.1,61.5,8.3,34.6,40.4,88.1,2023
,Portugal,163.8,51.7,68.5,71.5,45.3,12.6,29.5,30.6,97.8,2023
,Czech Republic,163.6,71.8,73.4,75.5,48.9,14.9,29.5,35.3,78.0,2023
,Croatia,163.2,56.2,75.4,63.9,46.7,13.2,26.5,32.0,89.7,2023
,Canada,162.3,102.1,55.7,70.4,66.1,9.4,33.7,29.1,53.2,2023
,Lithuania,161.5,56.7,67.0,73.2,48.8,12.7,25.0,25.7,69.9,2023
,Belgium,157.3,94.5,50.9,75.2,65.6,6.5,36.3,50.1,86.0,2023
,Singapore,154.2,95.6,70.8,70.9,85.9,15.5,41.4,33.1,57.5,2023
,Ireland,154.0,82.6,54.1,51.8,70.5,7.3,37.9,34.8,89.1,2023
,France,153.8,86.2,44.7,79.4,68.7,11.8,35.0,42.9,89.7,2023
,Latvia,153.2,52.9,62.3,62.4,50.9,8.1,29.7,31.5,74.7,2023
,Saudi Arabia,151.8,101.9,75.4,61.2,50.6,3.0,29.4,63.3,41.4,2023
,Slovakia,149.7,56.3,68.6,60.1,44.2,13.2,28.1,38.3,78.1,2023
,Cyprus,148.5,54.8,68.6,54.7,55.9,6.8,22.9,55.3,93.3,2023
,Israel,148.4,80.5,67.4,73.5,76.4,14.1,36.4,57.4,93.9,2023
,Taiwan (China),147.8,71.3,83.8,85.9,54.2,20.1,32.0,64.9,83.5,2023
,Italy,140.9,66.5,53.1,66.3,61.3,9.7,33.5,54.7,90.8,2023
,Poland,139.9,64.0,70.8,57.6,38.6,13.3,32.1,54.5,76.0,2023
,South Africa,138.8,83.9,24.6,63.7,37.8,3.4,39.1,56.4,95.3,2023
,Hungary,134.3,53.1,66.1,54.4,39.2,14.6,35.6,47.7,79.5,2023
,South Korea,133.0,85.5,74.5,83.0,70.4,26.0,39.8,62.3,68.4,2023
,Romania,132.9,52.5,68.0,56.5,37.4,10.9,33.5,58.5,77.2,2023
,Bulgaria,131.6,51.2,62.0,56.7,40.5,9.2,28.9,63.7,82.8,2023
,Uruguay,131.4,38.4,47.3,68.4,59.9,13.7,37.3,43.9,98.0,2023
,Bosnia And Herzegovina,128.6,48.6,57.1,54.9,35.1,11.4,27.1,60.6,82.3,2023
,Greece,128.6,41.9,53.0,57.5,54.6,11.5,33.7,51.6,91.8,2023
,Mexico,127.0,43.5,45.6,72.5,37.3,8.4,39.3,58.5,85.8,2023
,Malaysia,126.0,65.7,47.1,70.0,35.0,8.1,37.0,61.7,57.9,2023
,Kuwait,125.0,96.7,67.4,59.7,46.8,11.5,33.4,67.8,20.2,2023
,Ecuador,122.0,37.0,40.6,69.5,35.1,11.1,37.8,58.4,94.5,2023
,Turkey,119.4,31.0,59.9,71.0,28.1,12.6,43.9,65.1,88.1,2023
,Panama,119.0,36.4,56.3,61.0,48.2,10.2,35.1,57.3,67.8,2023
,Georgia,118.6,25.9,74.1,54.8,38.9,13.3,35.7,67.8,88.5,2023
,India,117.9,64.6,55.4,65.1,22.4,9.2,46.4,73.0,65.0,2023
,Serbia,117.4,39.6,61.8,52.2,37.2,15.9,31.1,64.1,83.2,2023
,Jordan,116.8,38.0,59.0,64.9,46.8,7.4,41.0,76.4,89.0,2023
,Belarus,114.7,36.4,43.6,47.1,35.4,13.8,29.9,44.5,64.4,2023
,Malta,112.7,50.6,57.5,45.4,61.4,12.1,29.2,81.2,97.4,2023
,Ukraine,112.5,38.1,53.3,55.2,25.6,12.2,37.8,62.1,70.7,2023
,Argentina,111.0,36.8,35.7,68.9,31.2,22.7,43.7,51.3,98.3,2023
,North Macedonia,110.0,38.2,59.1,55.3,31.4,13.3,25.7,79.7,76.3,2023
,Azerbaijan,109.6,32.0,68.2,46.8,28.9,14.5,39.6,73.9,91.4,2023
,Morocco,106.5,33.6,53.2,45.8,29.3,14.2,37.0,69.3,90.0,2023
,Brazil,105.2,28.7,33.4,58.2,34.7,18.3,41.0,53.7,95.7,2023
,China,104.1,62.3,73.7,67.5,39.2,34.6,38.8,79.3,78.4,2023
,Russia,103.0,40.9,60.7,59.7,40.8,16.3,43.9,60.9,46.0,2023
,Pakistan,102.1,24.4,57.7,59.5,18.0,13.9,38.1,73.6,70.8,2023
,Chile,102.0,37.3,41.9,64.4,44.1,15.6,35.5,77.9,90.2,2023
,Hong Kong (China),101.9,67.7,78.5,65.8,75.7,44.9,42.7,67.2,83.6,2023
,Kenya,101.4,32.8,43.0,61.8,32.4,16.0,51.6,69.2,99.8,2023
,Colombia,101.2,31.1,39.8,67.9,23.1,17.5,47.9,63.1,82.9,2023
,Thailand,100.5,33.2,61.3,77.9,40.7,24.0,39.0,75.3,69.4,2023
,Indonesia,98.0,27.5,54.1,60.5,31.2,18.5,42.7,67.1,70.5,2023
,Kazakhstan,97.6,38.1,47.3,59.9,28.1,9.7,34.5,73.1,39.8,2023
,Egypt,90.8,21.9,52.8,47.6,21.6,12.0,48.2,83.2,90.8,2023
,Vietnam,89.3,31.5,55.5,59.3,35.7,23.5,29.6,85.1,71.2,2023
,Lebanon,88.9,22.7,53.8,63.2,65.8,18.3,38.7,89.4,94.7,2023
,Peru,81.8,31.3,32.4,55.9,32.4,19.0,49.6,82.4,97.7,2023
,Philippines,81.7,22.4,57.3,67.8,34.0,30.1,42.9,72.9,61.6,2023
,Iran,73.8,21.1,50.1,52.3,35.2,24.4,47.3,75.3,63.7,2023
,Sri Lanka,72.8,16.0,58.6,72.0,25.3,40.8,56.9,59.4,59.1,2023
,Venezuela,72.6,12.4,17.4,39.3,41.6,18.9,33.1,75.7,99.9,2023
,Bangladesh,70.1,26.9,37.4,42.3,26.6,12.6,57.4,85.1,72.9,2023
,Nigeria,38.5,8.4,34.5,48.5,30.9,28.2,63.4,88.0,60.8,2023
